dataset,stat,target_fpr,L,power,power_ci_low,power_ci_high,n_rep
rice_rdp1,pure_leak,0.05,100,0.2,0.089,0.391,25
rice_rdp1,pure_leak,0.05,400,0.2,0.089,0.391,25
rice_rdp1,pure_leak,0.05,1000,0.44,0.267,0.629,25
rice_rdp1,pure_leak,0.05,2500,0.68,0.484,0.828,25
rice_rdp1,pure_leak,0.1,100,0.24,0.115,0.434,25
rice_rdp1,pure_leak,0.1,400,0.24,0.115,0.434,25
rice_rdp1,pure_leak,0.1,1000,0.44,0.267,0.629,25
rice_rdp1,pure_leak,0.1,2500,0.68,0.484,0.828,25
rice_rdp1,pure_leak,0.2,100,0.24,0.115,0.434,25
rice_rdp1,pure_leak,0.2,400,0.24,0.115,0.434,25
rice_rdp1,pure_leak,0.2,1000,0.48,0.3,0.665,25
rice_rdp1,pure_leak,0.2,2500,0.72,0.524,0.857,25
