dataset,stat,target_fpr,L,power
wheat,pure_leak,0.05,100,0.04
wheat,pure_leak,0.05,400,0.52
wheat,pure_leak,0.05,1000,0.88
wheat,pure_leak,0.05,2500,0.96
wheat,pure_leak,0.1,100,0.36
wheat,pure_leak,0.1,400,0.68
wheat,pure_leak,0.1,1000,0.92
wheat,pure_leak,0.1,2500,1.0
wheat,pure_leak,0.2,100,0.48
wheat,pure_leak,0.2,400,0.8
wheat,pure_leak,0.2,1000,1.0
wheat,pure_leak,0.2,2500,1.0
microbiome_crc,pure_leak,0.05,100,0.72
microbiome_crc,pure_leak,0.05,400,0.96
microbiome_crc,pure_leak,0.05,1000,1.0
microbiome_crc,pure_leak,0.05,2500,1.0
microbiome_crc,pure_leak,0.1,100,0.72
microbiome_crc,pure_leak,0.1,400,0.96
microbiome_crc,pure_leak,0.1,1000,1.0
microbiome_crc,pure_leak,0.1,2500,1.0
microbiome_crc,pure_leak,0.2,100,0.84
microbiome_crc,pure_leak,0.2,400,1.0
microbiome_crc,pure_leak,0.2,1000,1.0
microbiome_crc,pure_leak,0.2,2500,1.0
